name,lag
control1,1.97506647428032
yerQ,5.35141695235965
sufC,2.96561539087575
mrpB,2.86654488984215
fabD,3.75861590114667
rnjA,2.91665072405148
tsf,3.9718782879286
dfrA,3.82716108962465
sufB,2.89626485216926
rplQ,3.89914736892281
folC,2.39633609850882
odhB,2.76359610371409
dapF,3.45715815685515
racE,3.67134747529841
aroK,3.42096434733693
tagF,4.92393958907776
rpsN,3.28159118641536
menE,4.29845179254368
mrpD,3.00142730390387
dapB,3.79062761122876
gatA,3.65573801967927
murAA,4.59084978125592
engB,3.82695850150415
plsX,3.05296926645477
holB,3.17491936281875
parC,3.92552493907316
pyrH,4.44276745176008
pheS,3.86002279058256
coaE,3.32193559521775
tufA,3.58551825696369
rplU,3.79136377992129
yneS,4.53946938106939
hisS,3.70656139233622
tagO,3.86361266901439
murG,4.04286128197551
dnaN,3.21649971616652
gcp,3.99711537537185
accD,4.31047510841072
rplR,2.77789456726433
rpsE,2.38684827151121
sul,3.56811850612463
tyrS,3.26618814034178
yqjK,2.82298501026143
glyS,3.39962823074243
cysS,3.20880381389854
rpmD,3.54281716071974
tagG,3.76425838430389
hemB,3.52035835937555
dapA,-486.544091235497
scpA,4.6087421324656
gatB,4.05861153992963
frr,4.47665253109336
hbs,3.86259197295764
sufS,3.7200239007322
mrpC,3.88263696525816
fusA,3.10831265416176
ffh,3.99009986138568
accB,4.00383569901031
gapA,4.09232723781113
secE,5.12802270519965
folB,3.62547984412513
rpsB,4.19533510830114
parE,4.07189277497575
dnaC,3.20377313829989
dnaD,3.5406080929337
mbl,3.51086733077629
trxA,3.43819870829891
rnc,3.61255012529971
yloU,4.09924957881722
priA,4.02799403851311
pheT,5.18772727713752
murF,3.68155121924854
rplN,3.89525501471564
walR,3.34793823139435
yisB,3.53614646919283
proS,4.18893701661857
rghRA,4.05788377664197
pth,4.13851694903298
dnaI,4.24292446746858
glmS,4.3994012058394
glmU,4.74678986297058
glyQ,3.20401052989699
alaS,4.36586582632559
hemC,3.92639737045492
ddl,4.5824274255732
mnmA,3.7935320143432
accA,3.83283539788502
accC,3.26718149841656
adk,4.12415068643316
hepS,4.3325218900278
holA,4.24589716138896
alrA,4.04129932535016
plsC,4.14200469774307
mnaA,4.25632008771294
aspS,4.5396566599685
cdsA,4.88513469581207
cmk,4.52347176151905
ispD,3.73960383487491
mapA,4.35913783919614
metS,3.96188999276726
mreB,4.49657527096602
mreC,5.04064836025424
mreD,4.824988160039
murD,5.2328670268065
tagA,4.89850101283014
nrdI,5.04186178779169
panC,3.8211558645578
ydiP,4.48553829392526
pbpB,3.95942383423734
dnaX,3.45912790129037
pgsA,4.12829759460215
prfB,3.57651118811319
pyrG,5.02715095391338
rnpA,4.32219486609275
rnpB,3.33569977422104
rplB,4.30271735568436
rplL,4.33503118880733
infA,127.128669311697
infB,3.97242849224446
iscU,-0.232138504026736
ligA,4.83283777025565
gatC,3.76397021039472
mrpE,3.89717323372161
nadD,4.41195397786449
patA,6.53786663923094
ppaC,4.60110432497592
rplP,3.99114231243611
hprT,3.88582525062746
rpsD,4.17052679149458
rpsQ,4.64520341394675
rpsR,3.60126252517954
secA,3.6581151726569
sunI,4.20642407787426
rplX,3.36689138904921
rpoC,4.10130034943264
rpsJ,3.70011931170252
rpsK,4.06731402258413
metK,4.49423698985361
sufD,2.87057476216693
tagB,3.18036235617142
trxB,3.00434703120621
valS,4.05314222790227
xkdC,3.4141028608601
yddT,3.85723407494033
rplJ,4.22415894009554
ymdA,3.6797940779406
yneF,3.64296651387205
yqeH,4.34901907271522
ysgA,3.88087917472581
tagD,3.86195269911567
rpoA,3.55562138673282
rpsC,4.00119287660408
tuaB,3.75948356333436
secY,3.3212135345281
ssbA,3.80439430570494
aroF,3.87287556010045
asnB,4.5655772674131
cca,2.48233396447248
coaBC,2.57215162636033
dnaG,3.60094507250918
dapL,2.29243768254978
divIC,2.73444399252845
dnaA,2.44795169231695
dnaB,3.6631167908854
dnaE,2.16830022970564
ubiE,3.55967266735253
dxr,4.65302086579154
dxs,3.22845474619468
engA,4.06645303964844
eno,4.06948035546428
era,4.05569088144054
fabF,3.89622675437951
fmt,3.33053419840254
folE,3.84462655867821
folK,3.46724171735337
ftsL,3.51116982630467
uppS,3.7721489334225
glmM,4.36781015625656
glyA,3.51305733205461
gmk,5.06211867085475
gpsA,3.8926764413938
groEL,2.46263644069921
groES,2.50146355921517
guaB,3.27064960938809
gyrA,4.15827313222264
hemA,2.65015516156593
hemD,2.35859761856425
hemE,3.09229387334467
ileS,4.42448288108758
infC,4.05235707876824
ipk,3.92131556597721
ispF,3.7416046608258
ispG,3.11262976529641
ispH,2.47200821302515
leuS,4.11214716146962
yomL,3.48199830228226
menA,3.73148187225872
menC,3.35759746497938
menD,3.88089420528334
walK,4.12731975721154
yqaE,4.25607082615255
xkdB,2.98642738695586
mrpA,-1.62028321126168
mrpG,2.39634319513763
murB,4.12527102254105
murC,4.6746240913836
yumC,2.85787239040772
yxlC,2.47438863836154
pcrA,4.11887227019424
pgm,4.15628031113439
ydiC,4.3806726918853
ydiO,3.20797732426385
prs,4.84414000297473
rbgA,4.77788270022991
resB,4.03385953727738
ribC,3.38552132590308
yezG,2.89101149278133
rplC,4.63737536706878
rplD,3.42650156321548
rplE,3.11434742631145
rplF,3.41126662808183
rplM,4.90053778054959
rplS,4.2445696052648
rpoB,3.38418580826837
rpsG,4.0990673374835
rpsO,2.53898355142674
rpsP,3.115946660767
scr,2.90750482109621
sigA,3.22753567739761
smc,3.85842271043273
tagH,3.80628142392724
tilS,3.75855514812662
aroE,2.52883714971677
cspR,2.55381792238777
dapH,2.86962969708146
fabG,2.39211388830826
rpmA,2.44517918490971
hemH,2.32905828804448
hemY,2.43204926788221
mrpF,2.2587689861362
nrdF,1.83141921367501
resC,1.63584242589211
acpP,2.11566487147258
rpsI,3.16967242353171
rpsL,3.10321692898987
rpsM,2.91113627053401
rpsS,2.88450634310838
acpS,2.55290641957626
trnH,2.37869751650956
divIB,2.36532975788112
birA,2.20776985480234
mgtE,2.51846954913263
nifS,1.97274552368848
pdhA,2.3549606366253
rplT,2.61200424896244
rpsNA,2.65408692634345
ylaN25,2.67182154386231
yjzJ,2.20136032270666
ypuF,2.39397849853528
yhdL,2.378942611667
yfkN,2.44634162778812
trmD,2.6172871984961
dapG,2.88369597198553
ftsW,2.95382077455682
ftsZ,2.43240795970372
gltX,2.96538013889668
gyrB,2.57838288193922
lysS,2.34232935008718
mntA,2.34809356410893
mraY,3.64575315141279
murE,2.79995968800829
nadE,2.52389154880403
nrdE,3.46443460783436
nusA,3.02149657366838
polC,3.01540929912604
ppnK,2.79612048621119
prfA,2.93218127564056
rodA,2.39459035301427
serS,2.9998991045871
ftsZ1132,2.4357991690139
prsA44,2.21986790609846
rplR103,2.97381764841671
sknR99,2.85821098442717
yezG129,2.92552466209277
yqhY,3.24858244465523
ycgG,2.90176209247381
folD,2.47821522091647
ftsA,3.95987125181044
menB,2.51000513929358
hepT,2.38251233541282
asd,3.07741795864415
ytbE,2.66463150935309
coaD,1.88502413514631
trpS,1.67246374940076
rpsH,2.48772750114991
